Sample,Study,Site,Country,Lat,Long,Year,ENA,All samples same individual,Population,% callable,QC pass,Exclusion reason,Is returning traveller
PA0050-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR018959,PA0050-C,WAF,89.75,TRUE,Analysis_set,FALSE
PA0051-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR023470,PA0051-C,WAF,62.8,TRUE,Analysis_set,FALSE
PA0052-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR018928,PA0052-C,WAF,89.49,TRUE,Analysis_set,FALSE
PA0053-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR019540,PA0053-C,WAF,89.96,TRUE,Analysis_set,FALSE
PA0054-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR023468,PA0054-C,WAF,56.29,TRUE,Analysis_set,FALSE
PA0056-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR023465,PA0056-C,WAF,47.74,FALSE,Less_than_50pc_callable,FALSE
PA0057-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR020116,PA0057-C,WAF,89.91,TRUE,Analysis_set,FALSE
PA0059-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR023475,PA0059-C,WAF,49.74,FALSE,Less_than_50pc_callable,FALSE
PA0060-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR018958,PA0060-C,WAF,88.17,TRUE,Analysis_set,FALSE
PA0061-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR018960,PA0061-C,WAF,88.57,TRUE,Analysis_set,FALSE
PA0063-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR018961,PA0063-C,WAF,58.05,TRUE,Analysis_set,FALSE
PA0064-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR023467,PA0064-C,WAF,59.72,TRUE,Analysis_set,FALSE
PA0065-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR018952,PA0065-C,WAF,89.32,TRUE,Analysis_set,FALSE
PA0066-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR023164,PA0066-C,WAF,89.04,TRUE,Analysis_set,FALSE
PA0067-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR018978,PA0067-C,WAF,89.2,TRUE,Analysis_set,FALSE
PA0068-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR019543,PA0068-C,WAF,89.29,TRUE,Analysis_set,FALSE
PA0069-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR019544,PA0069-C,WAF,89.65,TRUE,Analysis_set,FALSE
PA0071-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR018951,PA0071-C,WAF,85.96,TRUE,Analysis_set,FALSE
PA0072-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR211518,PA0072-C,WAF,79.45,TRUE,Analysis_set,FALSE
PA0073-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR019850,PA0073-C,WAF,87.9,TRUE,Analysis_set,FALSE
PA0074-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR018927,PA0074-C,WAF,89.35,TRUE,Analysis_set,FALSE
PA0075-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR019849,PA0075-C,WAF,88.95,TRUE,Analysis_set,FALSE
PA0078-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR018976,PA0078-C,WAF,87.73,TRUE,Analysis_set,FALSE
PA0079-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR023474,PA0079-C,WAF,48.81,FALSE,Less_than_50pc_callable,FALSE
PA0080-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR211521,PA0080-C,WAF,34.53,FALSE,Less_than_50pc_callable,FALSE
PA0081-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR022862,PA0081-C,WAF,88.95,TRUE,Analysis_set,FALSE
PA0084-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR020107,PA0084-C,WAF,89.82,TRUE,Analysis_set,FALSE
PA0085-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR018962,PA0085-C,WAF,86.14,TRUE,Analysis_set,FALSE
PA0086-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR023473,PA0086-C,WAF,0.6,FALSE,Less_than_50pc_callable,FALSE
PA0087-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR023466,PA0087-C,WAF,81.18,TRUE,Analysis_set,FALSE
PA0089-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR023476,PA0089-C,WAF,62.86,TRUE,Analysis_set,FALSE
PA0090-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR023469,PA0090-C,WAF,34.21,FALSE,Less_than_50pc_callable,FALSE
PA0091-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR019546,PA0091-C,WAF,89.26,TRUE,Analysis_set,FALSE
PA0092-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR018926,PA0092-C,WAF,87.43,TRUE,Analysis_set,FALSE
PA0093-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR018950,PA0093-C,WAF,88.71,TRUE,Analysis_set,FALSE
PA0094-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR023471,PA0094-C,WAF,76.04,TRUE,Analysis_set,FALSE
PA0095-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR199980,PA0095-C,WAF,75.91,TRUE,Analysis_set,FALSE
PA0097-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR019547,PA0097-C,WAF,89.27,TRUE,Analysis_set,FALSE
PA0098-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR018977,PA0098-C,WAF,89.59,TRUE,Analysis_set,FALSE
PA0099-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR018953,PA0099-C,WAF,89.01,TRUE,Analysis_set,FALSE
PA0100-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR018979,PA0100-C,WAF,88.52,TRUE,Analysis_set,FALSE
PA0101-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR019548,PA0101-C,WAF,89.14,TRUE,Analysis_set,FALSE
PA0102-C,1006-PF-GM-CONWAY,Brikama,Gambia,13.27479,-16.64092,2008,ERR018963,PA0102-C,WAF,88.27,TRUE,Analysis_set,FALSE
